	A	Пр	Г	Т	Н	П	С	Д	Х	А2а	Пр12а	Пр22а	С2а	А3	С3	Х3	Ш3	А4	С4	Х4	А5	С5	Х5	А7	В7	СМ7	А8	В8	СМ8	А9	В9	СМ9
80,100	<>{\H0,5x;\S+0,035^;}	<>{\H0,5x;\S+0,065^+0,045;}	<>{\H0,5x;\S+0,045^+0,023;}	<>{\H0,5x;\S+0,035^+0,012;}	<>{\H0,5x;\S+0,026^+0,003;}	<>{\H0,5x;\S+0,012^-0,012;}	<>{\H0,5x;\S^-0,023;}	<>{\H0,5x;\S-0,015^-0,038;}	<>{\H0,5x;\S-0,04^-0,075;}	<>{\H0,5x;\S+0,054^;}	<>{\H0,5x;\S+0,106^+0,071;}	<>{\H0,5x;\S+0,178^+0,124;}	<>{\H0,5x;\S^-0,035;}	<>{\H0,5x;\S+0,07^;}	<>{\H0,5x;\S^-0,07;}	<>{\H0,5x;\S-0,05^-0,14;}	<>{\H0,5x;\S-0,12^-0,235;}	<>{\H0,5x;\S+0,23^;}	<>{\H0,5x;\S^-0,23;}	<>{\H0,5x;\S-0,12^-0,35;}	<>{\H0,5x;\S+0,46^;}	<>{\H0,5x;\S^-0,46;}	<>{\H0,5x;\S-0,23^-0,7;}	<>{\H0,5x;\S+0,87^;}	<>{\H0,5x;\S^-0,87;}	<>{\H0,5x;\S+0,4^-0,4;}	<>{\H0,5x;\S+1,4^;}	<>{\H0,5x;\S^-1,4;}	<>{\H0,5x;\S+0,7^-0,7;}	<>{\H0,5x;\S+2,2^;}	<>{\H0,5x;\S^-2,2;}	<>{\H0,5x;\S+1,1^-1,1;}
100,120	<>{\H0,5x;\S+0,035^;}	<>{\H0,5x;\S+0,065^+0,045;}	<>{\H0,5x;\S+0,045^+0,023;}	<>{\H0,5x;\S+0,035^+0,012;}	<>{\H0,5x;\S+0,026^+0,003;}	<>{\H0,5x;\S+0,012^-0,012;}	<>{\H0,5x;\S^-0,023;}	<>{\H0,5x;\S-0,015^-0,038;}	<>{\H0,5x;\S-0,04^-0,075;}	<>{\H0,5x;\S+0,054^;}	<>{\H0,5x;\S+0,114^+0,079;}	<>{\H0,5x;\S+0,198^+0,144;}	<>{\H0,5x;\S^-0,035;}	<>{\H0,5x;\S+0,07^;}	<>{\H0,5x;\S^-0,07;}	<>{\H0,5x;\S-0,05^-0,14;}	<>{\H0,5x;\S-0,12^-0,235;}	<>{\H0,5x;\S+0,23^;}	<>{\H0,5x;\S^-0,23;}	<>{\H0,5x;\S-0,12^-0,35;}	<>{\H0,5x;\S+0,46^;}	<>{\H0,5x;\S^-0,46;}	<>{\H0,5x;\S-0,23^-0,7;}	<>{\H0,5x;\S+0,87^;}	<>{\H0,5x;\S^-0,87;}	<>{\H0,5x;\S+0,4^-0,4;}	<>{\H0,5x;\S+1,4^;}	<>{\H0,5x;\S^-1,4;}	<>{\H0,5x;\S+0,7^-0,7;}	<>{\H0,5x;\S+2,2^;}	<>{\H0,5x;\S^-2,2;}	<>{\H0,5x;\S+1,1^-1,1;}
120,140	<>{\H0,5x;\S+0,04^;}	<>{\H0,5x;\S+0,065^+0,045;}	<>{\H0,5x;\S+0,052^+0,025;}	<>{\H0,5x;\S+0,04^+0,013;}	<>{\H0,5x;\S+0,03^+0,004;}	<>{\H0,5x;\S+0,014^-0,014;}	<>{\H0,5x;\S^-0,027;}	<>{\H0,5x;\S-0,018^-0,045;}	<>{\H0,5x;\S-0,05^-0,09;}	<>{\H0,5x;\S+0,063^;}	<>{\H0,5x;\S+0,132^+0,092;}	<>{\H0,5x;\S+0,233^+0,17;}	<>{\H0,5x;\S^-0,04;}	<>{\H0,5x;\S+0,08^;}	<>{\H0,5x;\S^-0,08;}	<>{\H0,5x;\S-0,06^-0,165;}	<>{\H0,5x;\S-0,15^-0,285;}	<>{\H0,5x;\S+0,26^;}	<>{\H0,5x;\S^-0,26;}	<>{\H0,5x;\S-0,13^-0,4;}	<>{\H0,5x;\S+0,53^;}	<>{\H0,5x;\S^-0,53;}	<>{\H0,5x;\S-0,26^-0,8;}	<>{\H0,5x;\S+1^;}	<>{\H0,5x;\S^-1;}	<>{\H0,5x;\S+0,5^-0,5;}	<>{\H0,5x;\S+1,6^;}	<>{\H0,5x;\S^-1,6;}	<>{\H0,5x;\S+0,8^-0,8;}	<>{\H0,5x;\S+2,5^;}	<>{\H0,5x;\S^-2,5;}	<>{\H0,5x;\S+1,2^-1,2;}
140,160	<>{\H0,5x;\S+0,04^;}	<>{\H0,5x;\S+0,065^+0,045;}	<>{\H0,5x;\S+0,052^+0,025;}	<>{\H0,5x;\S+0,04^+0,013;}	<>{\H0,5x;\S+0,03^+0,004;}	<>{\H0,5x;\S+0,014^-0,014;}	<>{\H0,5x;\S^-0,027;}	<>{\H0,5x;\S-0,018^-0,045;}	<>{\H0,5x;\S-0,05^-0,09;}	<>{\H0,5x;\S+0,063^;}	<>{\H0,5x;\S+0,14^+0,1;}	<>{\H0,5x;\S+0,253^+0,19;}	<>{\H0,5x;\S^-0,04;}	<>{\H0,5x;\S+0,08^;}	<>{\H0,5x;\S^-0,08;}	<>{\H0,5x;\S-0,06^-0,165;}	<>{\H0,5x;\S-0,15^-0,285;}	<>{\H0,5x;\S+0,26^;}	<>{\H0,5x;\S^-0,26;}	<>{\H0,5x;\S-0,13^-0,4;}	<>{\H0,5x;\S+0,53^;}	<>{\H0,5x;\S^-0,53;}	<>{\H0,5x;\S-0,26^-0,8;}	<>{\H0,5x;\S+1^;}	<>{\H0,5x;\S^-1;}	<>{\H0,5x;\S+0,5^-0,5;}	<>{\H0,5x;\S+1,6^;}	<>{\H0,5x;\S^-1,6;}	<>{\H0,5x;\S+0,8^-0,8;}	<>{\H0,5x;\S+2,5^;}	<>{\H0,5x;\S^-2,5;}	<>{\H0,5x;\S+1,2^-1,2;}
160,180	<>{\H0,5x;\S+0,04^;}	<>{\H0,5x;\S+0,065^+0,045;}	<>{\H0,5x;\S+0,052^+0,025;}	<>{\H0,5x;\S+0,04^+0,013;}	<>{\H0,5x;\S+0,03^+0,004;}	<>{\H0,5x;\S+0,014^-0,014;}	<>{\H0,5x;\S^-0,027;}	<>{\H0,5x;\S-0,018^-0,045;}	<>{\H0,5x;\S-0,05^-0,09;}	<>{\H0,5x;\S+0,063^;}	<>{\H0,5x;\S+0,148^+0,01;}	<>{\H0,5x;\S+0,273^+0,21;}	<>{\H0,5x;\S^-0,04;}	<>{\H0,5x;\S+0,08^;}	<>{\H0,5x;\S^-0,08;}	<>{\H0,5x;\S-0,06^-0,165;}	<>{\H0,5x;\S-0,15^-0,285;}	<>{\H0,5x;\S+0,26^;}	<>{\H0,5x;\S^-0,26;}	<>{\H0,5x;\S-0,13^-0,4;}	<>{\H0,5x;\S+0,53^;}	<>{\H0,5x;\S^-0,53;}	<>{\H0,5x;\S-0,26^-0,8;}	<>{\H0,5x;\S+1^;}	<>{\H0,5x;\S^-1;}	<>{\H0,5x;\S+0,5^-0,5;}	<>{\H0,5x;\S+1,6^;}	<>{\H0,5x;\S^-1,6;}	<>{\H0,5x;\S+0,8^-0,8;}	<>{\H0,5x;\S+2,5^;}	<>{\H0,5x;\S^-2,5;}	<>{\H0,5x;\S+1,2^-1,2;}
180,220	<>{\H0,5x;\S+0,045^;}	<>{\H0,5x;\S+0,065^+0,045;}	<>{\H0,5x;\S+0,06^+0,03;}	<>{\H0,5x;\S+0,045^+0,015;}	<>{\H0,5x;\S+0,035^+0,004;}	<>{\H0,5x;\S+0,016^-0,016;}	<>{\H0,5x;\S^-0,03;}	<>{\H0,5x;\S-0,022^-0,052;}	<>{\H0,5x;\S-0,06^-0,105;}	<>{\H0,5x;\S+0,073^;}	<>{\H0,5x;\S+0,168^+0,127;}	<>{\H0,5x;\S+0,308^+0,286;}	<>{\H0,5x;\S^-0,047;}	<>{\H0,5x;\S+0,09^;}	<>{\H0,5x;\S^-0,09;}	<>{\H0,5x;\S-0,075^-0,195;}	<>{\H0,5x;\S-0,18^-0,33;}	<>{\H0,5x;\S+0,3^;}	<>{\H0,5x;\S^-0,3;}	<>{\H0,5x;\S-0,15^-0,45;}	<>{\H0,5x;\S+0,6^;}	<>{\H0,5x;\S^-0,6;}	<>{\H0,5x;\S-0,3^-0,9;}	<>{\H0,5x;\S+1,15^;}	<>{\H0,5x;\S^-1,15;}	<>{\H0,5x;\S+0,5^-0,5;}	<>{\H0,5x;\S+1,9^;}	<>{\H0,5x;\S^-1,9;}	<>{\H0,5x;\S+1^-1;}	<>{\H0,5x;\S+2,9^;}	<>{\H0,5x;\S^-2,9;}	<>{\H0,5x;\S+1,5^-1,5;}
220,260	<>{\H0,5x;\S+0,045^;}	<>{\H0,5x;\S+0,065^+0,045;}	<>{\H0,5x;\S+0,06^+0,03;}	<>{\H0,5x;\S+0,045^+0,015;}	<>{\H0,5x;\S+0,035^+0,004;}	<>{\H0,5x;\S+0,016^-0,016;}	<>{\H0,5x;\S^-0,03;}	<>{\H0,5x;\S-0,022^-0,052;}	<>{\H0,5x;\S-0,06^-0,105;}	<>{\H0,5x;\S+0,073^;}	<>{\H0,5x;\S+0,186^+0,14;}	<>{\H0,5x;\S+0,356^+0,284;}	<>{\H0,5x;\S^-0,047;}	<>{\H0,5x;\S+0,09^;}	<>{\H0,5x;\S^-0,09;}	<>{\H0,5x;\S-0,075^-0,195;}	<>{\H0,5x;\S-0,18^-0,33;}	<>{\H0,5x;\S+0,3^;}	<>{\H0,5x;\S^-0,3;}	<>{\H0,5x;\S-0,15^-0,45;}	<>{\H0,5x;\S+0,6^;}	<>{\H0,5x;\S^-0,6;}	<>{\H0,5x;\S-0,3^-0,9;}	<>{\H0,5x;\S+1,15^;}	<>{\H0,5x;\S^-1,15;}	<>{\H0,5x;\S+0,5^-0,5;}	<>{\H0,5x;\S+1,9^;}	<>{\H0,5x;\S^-1,9;}	<>{\H0,5x;\S+1^-1;}	<>{\H0,5x;\S+2,9^;}	<>{\H0,5x;\S^-2,9;}	<>{\H0,5x;\S+1,5^-1,5;}
260,310	<>{\H0,5x;\S+0,05^;}	<>{\H0,5x;\S+0,065^+0,045;}	<>{\H0,5x;\S+0,07^+0,035;}	<>{\H0,5x;\S+0,05^+0,015;}	<>{\H0,5x;\S+0,04^+0,004;}	<>{\H0,5x;\S+0,018^-0,018;}	<>{\H0,5x;\S^-0,035;}	<>{\H0,5x;\S-0,026^-0,06;}	<>{\H0,5x;\S-0,07^-0,125;}	<>{\H0,5x;\S+0,084^;}	<>{\H0,5x;\S+0,222^+0,17;}	<>{\H0,5x;\S+0,431^+0,35;}	<>{\H0,5x;\S^-0,054;}	<>{\H0,5x;\S+0,1^;}	<>{\H0,5x;\S^-0,1;}	<>{\H0,5x;\S-0,09^-0,225;}	<>{\H0,5x;\S-0,21^-0,38;}	<>{\H0,5x;\S+0,34^;}	<>{\H0,5x;\S^-0,34;}	<>{\H0,5x;\S-0,17^-0,5;}	<>{\H0,5x;\S+0,68^;}	<>{\H0,5x;\S^-0,68;}	<>{\H0,5x;\S-0,34^-1;}	<>{\H0,5x;\S+1,35^;}	<>{\H0,5x;\S^-1,35;}	<>{\H0,5x;\S+0,7^-0,7;}	<>{\H0,5x;\S+2,2^;}	<>{\H0,5x;\S^-2,2;}	<>{\H0,5x;\S+1,1^-1,1;}	<>{\H0,5x;\S+3,3^;}	<>{\H0,5x;\S^-3,3;}	<>{\H0,5x;\S+1,7^-1,7;}
310,360	<>{\H0,5x;\S+0,05^;}	<>{\H0,5x;\S+0,065^+0,045;}	<>{\H0,5x;\S+0,07^+0,035;}	<>{\H0,5x;\S+0,05^+0,015;}	<>{\H0,5x;\S+0,04^+0,004;}	<>{\H0,5x;\S+0,018^-0,018;}	<>{\H0,5x;\S^-0,035;}	<>{\H0,5x;\S-0,026^-0,06;}	<>{\H0,5x;\S-0,07^-0,125;}	<>{\H0,5x;\S+0,084^;}	<>{\H0,5x;\S+0,242^+0,19;}	<>{\H0,5x;\S+0,471^+0,39;}	<>{\H0,5x;\S^-0,054;}	<>{\H0,5x;\S+0,1^;}	<>{\H0,5x;\S^-0,1;}	<>{\H0,5x;\S-0,09^-0,225;}	<>{\H0,5x;\S-0,21^-0,38;}	<>{\H0,5x;\S+0,34^;}	<>{\H0,5x;\S^-0,34;}	<>{\H0,5x;\S-0,17^-0,5;}	<>{\H0,5x;\S+0,68^;}	<>{\H0,5x;\S^-0,68;}	<>{\H0,5x;\S-0,34^-1;}	<>{\H0,5x;\S+1,35^;}	<>{\H0,5x;\S^-1,35;}	<>{\H0,5x;\S+0,7^-0,7;}	<>{\H0,5x;\S+2,2^;}	<>{\H0,5x;\S^-2,2;}	<>{\H0,5x;\S+1,1^-1,1;}	<>{\H0,5x;\S+3,3^;}	<>{\H0,5x;\S^-3,3;}	<>{\H0,5x;\S+1,7^-1,7;}
360,440	<>{\H0,5x;\S+0,06^;}	<>{\H0,5x;\S+0,065^+0,045;}	<>{\H0,5x;\S+0,08^+0,04;}	<>{\H0,5x;\S+0,06^+0,02;}	<>{\H0,5x;\S+0,045^+0,005;}	<>{\H0,5x;\S+0,02^-0,02;}	<>{\H0,5x;\S^-0,04;}	<>{\H0,5x;\S-0,03^-0,07;}	<>{\H0,5x;\S-0,08^-0,14;}	<>{\H0,5x;\S+0,095^;}	<>{\H0,5x;\S+0,283^+0,22;}	<>{\H0,5x;\S+0,557^+0,46;}	<>{\H0,5x;\S^-0,062;}	<>{\H0,5x;\S+0,12^;}	<>{\H0,5x;\S^-0,12;}	<>{\H0,5x;\S-0,105^-0,253;}	<>{\H0,5x;\S-0,25^-0,44;}	<>{\H0,5x;\S+0,38^;}	<>{\H0,5x;\S^-0,38;}	<>{\H0,5x;\S-0,19^-0,57;}	<>{\H0,5x;\S+0,76^;}	<>{\H0,5x;\S^-0,76;}	<>{\H0,5x;\S-0,38^-1,1;}	<>{\H0,5x;\S+1,5^;}	<>{\H0,5x;\S^-1,5;}	<>{\H0,5x;\S+0,8^-0,8;}	<>{\H0,5x;\S+2,5^;}	<>{\H0,5x;\S^-2,5;}	<>{\H0,5x;\S+1,2^-1,2;}	<>{\H0,5x;\S+3,8^;}	<>{\H0,5x;\S^-3,8;}	<>{\H0,5x;\S+2^-2;}
440,500	<>{\H0,5x;\S+0,06^;}	<>{\H0,5x;\S+0,065^+0,045;}	<>{\H0,5x;\S+0,08^+0,04;}	<>{\H0,5x;\S+0,06^+0,02;}	<>{\H0,5x;\S+0,045^+0,005;}	<>{\H0,5x;\S+0,02^-0,02;}	<>{\H0,5x;\S^-0,04;}	<>{\H0,5x;\S-0,03^-0,07;}	<>{\H0,5x;\S-0,08^-0,14;}	<>{\H0,5x;\S+0,095^;}	<>{\H0,5x;\S+0,315^+0,252;}	<>{\H0,5x;\S+0,637^+0,54;}	<>{\H0,5x;\S^-0,062;}	<>{\H0,5x;\S+0,12^;}	<>{\H0,5x;\S^-0,12;}	<>{\H0,5x;\S-0,105^-0,253;}	<>{\H0,5x;\S-0,25^-0,44;}	<>{\H0,5x;\S+0,38^;}	<>{\H0,5x;\S^-0,38;}	<>{\H0,5x;\S-0,19^-0,57;}	<>{\H0,5x;\S+0,76^;}	<>{\H0,5x;\S^-0,76;}	<>{\H0,5x;\S-0,38^-1,1;}	<>{\H0,5x;\S+1,5^;}	<>{\H0,5x;\S^-1,5;}	<>{\H0,5x;\S+0,8^-0,8;}	<>{\H0,5x;\S+2,5^;}	<>{\H0,5x;\S^-2,5;}	<>{\H0,5x;\S+1,2^-1,2;}	<>{\H0,5x;\S+3,8^;}	<>{\H0,5x;\S^-3,8;}	<>{\H0,5x;\S+2^-2;}
